id,title,description,salary,location,employment_type,ai_used,requirements,benefits,employer
1,Junior Software Developer,"We are looking for a junior developer to help maintain and improve internal tools. You will work with a small agile team and receive mentorship from senior engineers.","$55,000-$65,000","Toronto, ON","Full-time","Unknown","1-2 years experience or relevant projects; familiarity with Python or JavaScript; willingness to learn; teamwork","Health and dental after 3 months; paid training; hybrid work option","MapleTech Solutions"
2,Backend Developer,"Join our growing fintech startup to build and maintain APIs for payment processing. Some on-call work may be expected during product launches.","","Toronto, ON","Full-time","Yes","3+ years backend experience; REST APIs; SQL/NoSQL; cloud platforms (AWS/GCP/Azure)","Stock options; flexible vacation policy","NorthBay FinServe"
3,QA Automation Engineer,"You will be responsible for writing automated tests and improving test coverage. Manual testing may be required during peak releases.","$40/hour","Remote (Ontario)","Contract","No","Experience with test frameworks; scripting knowledge; attention to detail","Remote work; flexible schedule","Precision Quality Labs"
4,Frontend Web Developer,"Seeking a frontend developer to work on our e-commerce storefront. You will collaborate with designers to implement responsive, accessible UIs.","$65,000-$80,000","Ottawa, ON","Full-time","Yes","Proficiency in React or Vue; HTML/CSS/JS; familiarity with accessibility standards","RRSP matching; health benefits; education budget","BrightCart Retail Tech"
5,Retail Sales Associate,"We are hiring a sales associate to support customers, restock shelves, and handle basic cashier duties. Evening and weekend shifts required.","$17/hour","Mississauga, ON","Part-time","Unknown","Customer service skills; ability to lift up to 25 lbs; basic math","Store discounts; on-the-job training","UrbanStyle Clothing Co."
6,Assistant Store Manager,"Support the store manager in supervising staff, managing inventory, and meeting sales targets. Must be comfortable working extended hours during peak seasons.","","Brampton, ON","Full-time","No","2+ years retail experience; leadership skills; basic Excel","Bonus opportunities; benefits after 6 months","GreenLeaf Home Goods"
7,Cashier,"You will process customer purchases, manage returns, and maintain a clean work area. Must be comfortable standing for long periods.","$16.50/hour","Toronto, ON","Part-time","Unknown","Friendly communication; basic POS knowledge; reliability","Employee discount","MetroMart Convenience"
8,Store Operations Coordinator,"Help coordinate daily store operations including scheduling, inventory reconciliation, and online order pickups. Occasional overtime may be required without advance notice.","","Vaughan, ON","Full-time","Yes","Retail or operations experience; spreadsheet skills; strong organization","Health benefits; store discount; limited remote days","CitySquare Retail Group"
9,Registered Practical Nurse,"Provide patient care in a community clinic, including vital checks, medication administration, and documentation. Some evening shifts required.","$30-$36/hour","Hamilton, ON","Full-time","No","RPN license in Ontario; CPR certification; experience with electronic medical records","Health and dental; pension plan; paid sick days","Lakeside Community Health"
10,Clinic Receptionist,"You will schedule appointments, verify insurance details, and support patients at the front desk. High-stress environment at peak times.","","Scarborough, ON","Full-time","Unknown","Strong communication; basic computer skills; ability to multitask","Transit subsidy; limited health benefits","Harmony Medical Group"
